stem,algo,dimension,score
01_2411.18279v12_Large_Language_Model-Brained_GUI_Agents__A_Survey,ultra,coverage,1
01_2411.18279v12_Large_Language_Model-Brained_GUI_Agents__A_Survey,ultra,hierarchy,1
01_2411.18279v12_Large_Language_Model-Brained_GUI_Agents__A_Survey,ultra,balance,1
01_2411.18279v12_Large_Language_Model-Brained_GUI_Agents__A_Survey,ultra,conciseness,1
01_2411.18279v12_Large_Language_Model-Brained_GUI_Agents__A_Survey,ultra,accuracy,1
01_2411.18279v12_Large_Language_Model-Brained_GUI_Agents__A_Survey,mapreduce,coverage,5
01_2411.18279v12_Large_Language_Model-Brained_GUI_Agents__A_Survey,mapreduce,hierarchy,5
01_2411.18279v12_Large_Language_Model-Brained_GUI_Agents__A_Survey,mapreduce,balance,5
01_2411.18279v12_Large_Language_Model-Brained_GUI_Agents__A_Survey,mapreduce,conciseness,5
01_2411.18279v12_Large_Language_Model-Brained_GUI_Agents__A_Survey,mapreduce,accuracy,5
02_2505.04921v2_Perception__Reason__Think__and_Plan__A_Survey_on_Large_Multimodal_Reasoning_Models,ultra,coverage,2
02_2505.04921v2_Perception__Reason__Think__and_Plan__A_Survey_on_Large_Multimodal_Reasoning_Models,ultra,hierarchy,1
02_2505.04921v2_Perception__Reason__Think__and_Plan__A_Survey_on_Large_Multimodal_Reasoning_Models,ultra,balance,1
02_2505.04921v2_Perception__Reason__Think__and_Plan__A_Survey_on_Large_Multimodal_Reasoning_Models,ultra,conciseness,1
02_2505.04921v2_Perception__Reason__Think__and_Plan__A_Survey_on_Large_Multimodal_Reasoning_Models,ultra,accuracy,1
02_2505.04921v2_Perception__Reason__Think__and_Plan__A_Survey_on_Large_Multimodal_Reasoning_Models,mapreduce,coverage,5
02_2505.04921v2_Perception__Reason__Think__and_Plan__A_Survey_on_Large_Multimodal_Reasoning_Models,mapreduce,hierarchy,5
02_2505.04921v2_Perception__Reason__Think__and_Plan__A_Survey_on_Large_Multimodal_Reasoning_Models,mapreduce,balance,5
02_2505.04921v2_Perception__Reason__Think__and_Plan__A_Survey_on_Large_Multimodal_Reasoning_Models,mapreduce,conciseness,5
02_2505.04921v2_Perception__Reason__Think__and_Plan__A_Survey_on_Large_Multimodal_Reasoning_Models,mapreduce,accuracy,5
03_2312.11562v5_A_Survey_of_Reasoning_with_Foundation_Models,ultra,coverage,1
03_2312.11562v5_A_Survey_of_Reasoning_with_Foundation_Models,ultra,hierarchy,1
03_2312.11562v5_A_Survey_of_Reasoning_with_Foundation_Models,ultra,balance,1
03_2312.11562v5_A_Survey_of_Reasoning_with_Foundation_Models,ultra,conciseness,1
03_2312.11562v5_A_Survey_of_Reasoning_with_Foundation_Models,ultra,accuracy,1
03_2312.11562v5_A_Survey_of_Reasoning_with_Foundation_Models,mapreduce,coverage,5
03_2312.11562v5_A_Survey_of_Reasoning_with_Foundation_Models,mapreduce,hierarchy,5
03_2312.11562v5_A_Survey_of_Reasoning_with_Foundation_Models,mapreduce,balance,5
03_2312.11562v5_A_Survey_of_Reasoning_with_Foundation_Models,mapreduce,conciseness,5
03_2312.11562v5_A_Survey_of_Reasoning_with_Foundation_Models,mapreduce,accuracy,5
04_1701.07274v6_Deep_Reinforcement_Learning__An_Overview,ultra,coverage,1
04_1701.07274v6_Deep_Reinforcement_Learning__An_Overview,ultra,hierarchy,1
04_1701.07274v6_Deep_Reinforcement_Learning__An_Overview,ultra,balance,1
04_1701.07274v6_Deep_Reinforcement_Learning__An_Overview,ultra,conciseness,1
04_1701.07274v6_Deep_Reinforcement_Learning__An_Overview,ultra,accuracy,2
04_1701.07274v6_Deep_Reinforcement_Learning__An_Overview,mapreduce,coverage,5
04_1701.07274v6_Deep_Reinforcement_Learning__An_Overview,mapreduce,hierarchy,5
04_1701.07274v6_Deep_Reinforcement_Learning__An_Overview,mapreduce,balance,5
04_1701.07274v6_Deep_Reinforcement_Learning__An_Overview,mapreduce,conciseness,5
04_1701.07274v6_Deep_Reinforcement_Learning__An_Overview,mapreduce,accuracy,4
05_2209.00796v15_Diffusion_Models__A_Comprehensive_Survey_of_Methods_and_Applications,ultra,coverage,2
05_2209.00796v15_Diffusion_Models__A_Comprehensive_Survey_of_Methods_and_Applications,ultra,hierarchy,1
05_2209.00796v15_Diffusion_Models__A_Comprehensive_Survey_of_Methods_and_Applications,ultra,balance,1
05_2209.00796v15_Diffusion_Models__A_Comprehensive_Survey_of_Methods_and_Applications,ultra,conciseness,1
05_2209.00796v15_Diffusion_Models__A_Comprehensive_Survey_of_Methods_and_Applications,ultra,accuracy,1
05_2209.00796v15_Diffusion_Models__A_Comprehensive_Survey_of_Methods_and_Applications,mapreduce,coverage,5
05_2209.00796v15_Diffusion_Models__A_Comprehensive_Survey_of_Methods_and_Applications,mapreduce,hierarchy,5
05_2209.00796v15_Diffusion_Models__A_Comprehensive_Survey_of_Methods_and_Applications,mapreduce,balance,5
05_2209.00796v15_Diffusion_Models__A_Comprehensive_Survey_of_Methods_and_Applications,mapreduce,conciseness,5
05_2209.00796v15_Diffusion_Models__A_Comprehensive_Survey_of_Methods_and_Applications,mapreduce,accuracy,5
06_2302.10473v6_Oriented_object_detection_in_optical_remote_sensing_images_using_deep_learning__a_survey,ultra,coverage,1
06_2302.10473v6_Oriented_object_detection_in_optical_remote_sensing_images_using_deep_learning__a_survey,ultra,hierarchy,1
06_2302.10473v6_Oriented_object_detection_in_optical_remote_sensing_images_using_deep_learning__a_survey,ultra,balance,1
06_2302.10473v6_Oriented_object_detection_in_optical_remote_sensing_images_using_deep_learning__a_survey,ultra,conciseness,1
06_2302.10473v6_Oriented_object_detection_in_optical_remote_sensing_images_using_deep_learning__a_survey,ultra,accuracy,1
06_2302.10473v6_Oriented_object_detection_in_optical_remote_sensing_images_using_deep_learning__a_survey,mapreduce,coverage,5
06_2302.10473v6_Oriented_object_detection_in_optical_remote_sensing_images_using_deep_learning__a_survey,mapreduce,hierarchy,5
06_2302.10473v6_Oriented_object_detection_in_optical_remote_sensing_images_using_deep_learning__a_survey,mapreduce,balance,5
06_2302.10473v6_Oriented_object_detection_in_optical_remote_sensing_images_using_deep_learning__a_survey,mapreduce,conciseness,5
06_2302.10473v6_Oriented_object_detection_in_optical_remote_sensing_images_using_deep_learning__a_survey,mapreduce,accuracy,4
07_1912.12033v2_Deep_Learning_for_3D_Point_Clouds__A_Survey,ultra,coverage,1
07_1912.12033v2_Deep_Learning_for_3D_Point_Clouds__A_Survey,ultra,hierarchy,1
07_1912.12033v2_Deep_Learning_for_3D_Point_Clouds__A_Survey,ultra,balance,1
07_1912.12033v2_Deep_Learning_for_3D_Point_Clouds__A_Survey,ultra,conciseness,1
07_1912.12033v2_Deep_Learning_for_3D_Point_Clouds__A_Survey,ultra,accuracy,1
07_1912.12033v2_Deep_Learning_for_3D_Point_Clouds__A_Survey,mapreduce,coverage,5
07_1912.12033v2_Deep_Learning_for_3D_Point_Clouds__A_Survey,mapreduce,hierarchy,5
07_1912.12033v2_Deep_Learning_for_3D_Point_Clouds__A_Survey,mapreduce,balance,4
07_1912.12033v2_Deep_Learning_for_3D_Point_Clouds__A_Survey,mapreduce,conciseness,5
07_1912.12033v2_Deep_Learning_for_3D_Point_Clouds__A_Survey,mapreduce,accuracy,5
08_2502.08826v3_Ask_in_Any_Modality__A_Comprehensive_Survey_on_Multimodal_Retrieval-Augmented_Generation,ultra,coverage,2
08_2502.08826v3_Ask_in_Any_Modality__A_Comprehensive_Survey_on_Multimodal_Retrieval-Augmented_Generation,ultra,hierarchy,1
08_2502.08826v3_Ask_in_Any_Modality__A_Comprehensive_Survey_on_Multimodal_Retrieval-Augmented_Generation,ultra,balance,1
08_2502.08826v3_Ask_in_Any_Modality__A_Comprehensive_Survey_on_Multimodal_Retrieval-Augmented_Generation,ultra,conciseness,1
08_2502.08826v3_Ask_in_Any_Modality__A_Comprehensive_Survey_on_Multimodal_Retrieval-Augmented_Generation,ultra,accuracy,2
08_2502.08826v3_Ask_in_Any_Modality__A_Comprehensive_Survey_on_Multimodal_Retrieval-Augmented_Generation,mapreduce,coverage,5
08_2502.08826v3_Ask_in_Any_Modality__A_Comprehensive_Survey_on_Multimodal_Retrieval-Augmented_Generation,mapreduce,hierarchy,5
08_2502.08826v3_Ask_in_Any_Modality__A_Comprehensive_Survey_on_Multimodal_Retrieval-Augmented_Generation,mapreduce,balance,5
08_2502.08826v3_Ask_in_Any_Modality__A_Comprehensive_Survey_on_Multimodal_Retrieval-Augmented_Generation,mapreduce,conciseness,5
08_2502.08826v3_Ask_in_Any_Modality__A_Comprehensive_Survey_on_Multimodal_Retrieval-Augmented_Generation,mapreduce,accuracy,5
09_2509.16679v1_Reinforcement_Learning_Meets_Large_Language_Models__A_Survey_of_Advancements_and_Applications_Across_the_LLM_Lifecycle,ultra,coverage,1
09_2509.16679v1_Reinforcement_Learning_Meets_Large_Language_Models__A_Survey_of_Advancements_and_Applications_Across_the_LLM_Lifecycle,ultra,hierarchy,1
09_2509.16679v1_Reinforcement_Learning_Meets_Large_Language_Models__A_Survey_of_Advancements_and_Applications_Across_the_LLM_Lifecycle,ultra,balance,1
09_2509.16679v1_Reinforcement_Learning_Meets_Large_Language_Models__A_Survey_of_Advancements_and_Applications_Across_the_LLM_Lifecycle,ultra,conciseness,1
09_2509.16679v1_Reinforcement_Learning_Meets_Large_Language_Models__A_Survey_of_Advancements_and_Applications_Across_the_LLM_Lifecycle,ultra,accuracy,1
09_2509.16679v1_Reinforcement_Learning_Meets_Large_Language_Models__A_Survey_of_Advancements_and_Applications_Across_the_LLM_Lifecycle,mapreduce,coverage,5
09_2509.16679v1_Reinforcement_Learning_Meets_Large_Language_Models__A_Survey_of_Advancements_and_Applications_Across_the_LLM_Lifecycle,mapreduce,hierarchy,4
09_2509.16679v1_Reinforcement_Learning_Meets_Large_Language_Models__A_Survey_of_Advancements_and_Applications_Across_the_LLM_Lifecycle,mapreduce,balance,4
09_2509.16679v1_Reinforcement_Learning_Meets_Large_Language_Models__A_Survey_of_Advancements_and_Applications_Across_the_LLM_Lifecycle,mapreduce,conciseness,4
09_2509.16679v1_Reinforcement_Learning_Meets_Large_Language_Models__A_Survey_of_Advancements_and_Applications_Across_the_LLM_Lifecycle,mapreduce,accuracy,4
10_2307.02140v3_Towards_Open_Federated_Learning_Platforms__Survey_and_Vision_from_Technical_and_Legal_Perspectives,ultra,coverage,1
10_2307.02140v3_Towards_Open_Federated_Learning_Platforms__Survey_and_Vision_from_Technical_and_Legal_Perspectives,ultra,hierarchy,1
10_2307.02140v3_Towards_Open_Federated_Learning_Platforms__Survey_and_Vision_from_Technical_and_Legal_Perspectives,ultra,balance,1
10_2307.02140v3_Towards_Open_Federated_Learning_Platforms__Survey_and_Vision_from_Technical_and_Legal_Perspectives,ultra,conciseness,1
10_2307.02140v3_Towards_Open_Federated_Learning_Platforms__Survey_and_Vision_from_Technical_and_Legal_Perspectives,ultra,accuracy,1
10_2307.02140v3_Towards_Open_Federated_Learning_Platforms__Survey_and_Vision_from_Technical_and_Legal_Perspectives,mapreduce,coverage,5
10_2307.02140v3_Towards_Open_Federated_Learning_Platforms__Survey_and_Vision_from_Technical_and_Legal_Perspectives,mapreduce,hierarchy,5
10_2307.02140v3_Towards_Open_Federated_Learning_Platforms__Survey_and_Vision_from_Technical_and_Legal_Perspectives,mapreduce,balance,5
10_2307.02140v3_Towards_Open_Federated_Learning_Platforms__Survey_and_Vision_from_Technical_and_Legal_Perspectives,mapreduce,conciseness,5
10_2307.02140v3_Towards_Open_Federated_Learning_Platforms__Survey_and_Vision_from_Technical_and_Legal_Perspectives,mapreduce,accuracy,5
11_2408.12957v3_Image_Segmentation_in_Foundation_Model_Era__A_Survey,ultra,coverage,1
11_2408.12957v3_Image_Segmentation_in_Foundation_Model_Era__A_Survey,ultra,hierarchy,1
11_2408.12957v3_Image_Segmentation_in_Foundation_Model_Era__A_Survey,ultra,balance,2
11_2408.12957v3_Image_Segmentation_in_Foundation_Model_Era__A_Survey,ultra,conciseness,1
11_2408.12957v3_Image_Segmentation_in_Foundation_Model_Era__A_Survey,ultra,accuracy,1
11_2408.12957v3_Image_Segmentation_in_Foundation_Model_Era__A_Survey,mapreduce,coverage,5
11_2408.12957v3_Image_Segmentation_in_Foundation_Model_Era__A_Survey,mapreduce,hierarchy,5
11_2408.12957v3_Image_Segmentation_in_Foundation_Model_Era__A_Survey,mapreduce,balance,5
11_2408.12957v3_Image_Segmentation_in_Foundation_Model_Era__A_Survey,mapreduce,conciseness,5
11_2408.12957v3_Image_Segmentation_in_Foundation_Model_Era__A_Survey,mapreduce,accuracy,5
12_2301.08028v4_A_Tutorial_on_Meta-Reinforcement_Learning,ultra,coverage,2
12_2301.08028v4_A_Tutorial_on_Meta-Reinforcement_Learning,ultra,hierarchy,1
12_2301.08028v4_A_Tutorial_on_Meta-Reinforcement_Learning,ultra,balance,1
12_2301.08028v4_A_Tutorial_on_Meta-Reinforcement_Learning,ultra,conciseness,1
12_2301.08028v4_A_Tutorial_on_Meta-Reinforcement_Learning,ultra,accuracy,2
12_2301.08028v4_A_Tutorial_on_Meta-Reinforcement_Learning,mapreduce,coverage,5
12_2301.08028v4_A_Tutorial_on_Meta-Reinforcement_Learning,mapreduce,hierarchy,5
12_2301.08028v4_A_Tutorial_on_Meta-Reinforcement_Learning,mapreduce,balance,5
12_2301.08028v4_A_Tutorial_on_Meta-Reinforcement_Learning,mapreduce,conciseness,5
12_2301.08028v4_A_Tutorial_on_Meta-Reinforcement_Learning,mapreduce,accuracy,5
13_2502.12128v5_LaM-SLidE_Latent_Space_Modeling_of_Spatial_Dynamical_Systems_via_Linked_Entities,ultra,coverage,3
13_2502.12128v5_LaM-SLidE_Latent_Space_Modeling_of_Spatial_Dynamical_Systems_via_Linked_Entities,ultra,hierarchy,1
13_2502.12128v5_LaM-SLidE_Latent_Space_Modeling_of_Spatial_Dynamical_Systems_via_Linked_Entities,ultra,balance,1
13_2502.12128v5_LaM-SLidE_Latent_Space_Modeling_of_Spatial_Dynamical_Systems_via_Linked_Entities,ultra,conciseness,1
13_2502.12128v5_LaM-SLidE_Latent_Space_Modeling_of_Spatial_Dynamical_Systems_via_Linked_Entities,ultra,accuracy,2
13_2502.12128v5_LaM-SLidE_Latent_Space_Modeling_of_Spatial_Dynamical_Systems_via_Linked_Entities,mapreduce,coverage,5
13_2502.12128v5_LaM-SLidE_Latent_Space_Modeling_of_Spatial_Dynamical_Systems_via_Linked_Entities,mapreduce,hierarchy,5
13_2502.12128v5_LaM-SLidE_Latent_Space_Modeling_of_Spatial_Dynamical_Systems_via_Linked_Entities,mapreduce,balance,5
13_2502.12128v5_LaM-SLidE_Latent_Space_Modeling_of_Spatial_Dynamical_Systems_via_Linked_Entities,mapreduce,conciseness,5
13_2502.12128v5_LaM-SLidE_Latent_Space_Modeling_of_Spatial_Dynamical_Systems_via_Linked_Entities,mapreduce,accuracy,5
14_2406.10833v3_A_Comprehensive_Survey_of_Scientific_Large_Language_Models_and_Their_Applications_in_Scientific_Discovery,ultra,coverage,1
14_2406.10833v3_A_Comprehensive_Survey_of_Scientific_Large_Language_Models_and_Their_Applications_in_Scientific_Discovery,ultra,hierarchy,1
14_2406.10833v3_A_Comprehensive_Survey_of_Scientific_Large_Language_Models_and_Their_Applications_in_Scientific_Discovery,ultra,balance,1
14_2406.10833v3_A_Comprehensive_Survey_of_Scientific_Large_Language_Models_and_Their_Applications_in_Scientific_Discovery,ultra,conciseness,1
14_2406.10833v3_A_Comprehensive_Survey_of_Scientific_Large_Language_Models_and_Their_Applications_in_Scientific_Discovery,ultra,accuracy,1
14_2406.10833v3_A_Comprehensive_Survey_of_Scientific_Large_Language_Models_and_Their_Applications_in_Scientific_Discovery,mapreduce,coverage,5
14_2406.10833v3_A_Comprehensive_Survey_of_Scientific_Large_Language_Models_and_Their_Applications_in_Scientific_Discovery,mapreduce,hierarchy,4
14_2406.10833v3_A_Comprehensive_Survey_of_Scientific_Large_Language_Models_and_Their_Applications_in_Scientific_Discovery,mapreduce,balance,5
14_2406.10833v3_A_Comprehensive_Survey_of_Scientific_Large_Language_Models_and_Their_Applications_in_Scientific_Discovery,mapreduce,conciseness,5
14_2406.10833v3_A_Comprehensive_Survey_of_Scientific_Large_Language_Models_and_Their_Applications_in_Scientific_Discovery,mapreduce,accuracy,4
15_2302.08893v4_Active_learning_for_data_streams__a_survey,ultra,coverage,2
15_2302.08893v4_Active_learning_for_data_streams__a_survey,ultra,hierarchy,1
15_2302.08893v4_Active_learning_for_data_streams__a_survey,ultra,balance,1
15_2302.08893v4_Active_learning_for_data_streams__a_survey,ultra,conciseness,1
15_2302.08893v4_Active_learning_for_data_streams__a_survey,ultra,accuracy,2
15_2302.08893v4_Active_learning_for_data_streams__a_survey,mapreduce,coverage,5
15_2302.08893v4_Active_learning_for_data_streams__a_survey,mapreduce,hierarchy,5
15_2302.08893v4_Active_learning_for_data_streams__a_survey,mapreduce,balance,5
15_2302.08893v4_Active_learning_for_data_streams__a_survey,mapreduce,conciseness,5
15_2302.08893v4_Active_learning_for_data_streams__a_survey,mapreduce,accuracy,5
16_2112.10006v6_Zero-shot_and_Few-shot_Learning_with_Knowledge_Graphs__A_Comprehensive_Survey,ultra,coverage,2
16_2112.10006v6_Zero-shot_and_Few-shot_Learning_with_Knowledge_Graphs__A_Comprehensive_Survey,ultra,hierarchy,1
16_2112.10006v6_Zero-shot_and_Few-shot_Learning_with_Knowledge_Graphs__A_Comprehensive_Survey,ultra,balance,1
16_2112.10006v6_Zero-shot_and_Few-shot_Learning_with_Knowledge_Graphs__A_Comprehensive_Survey,ultra,conciseness,1
16_2112.10006v6_Zero-shot_and_Few-shot_Learning_with_Knowledge_Graphs__A_Comprehensive_Survey,ultra,accuracy,2
16_2112.10006v6_Zero-shot_and_Few-shot_Learning_with_Knowledge_Graphs__A_Comprehensive_Survey,mapreduce,coverage,5
16_2112.10006v6_Zero-shot_and_Few-shot_Learning_with_Knowledge_Graphs__A_Comprehensive_Survey,mapreduce,hierarchy,5
16_2112.10006v6_Zero-shot_and_Few-shot_Learning_with_Knowledge_Graphs__A_Comprehensive_Survey,mapreduce,balance,5
16_2112.10006v6_Zero-shot_and_Few-shot_Learning_with_Knowledge_Graphs__A_Comprehensive_Survey,mapreduce,conciseness,5
16_2112.10006v6_Zero-shot_and_Few-shot_Learning_with_Knowledge_Graphs__A_Comprehensive_Survey,mapreduce,accuracy,5
17_2412.06602v3_Towards_Controllable_Speech_Synthesis_in_the_Era_of_Large_Language_Models__A_Systematic_Survey,ultra,coverage,1
17_2412.06602v3_Towards_Controllable_Speech_Synthesis_in_the_Era_of_Large_Language_Models__A_Systematic_Survey,ultra,hierarchy,1
17_2412.06602v3_Towards_Controllable_Speech_Synthesis_in_the_Era_of_Large_Language_Models__A_Systematic_Survey,ultra,balance,1
17_2412.06602v3_Towards_Controllable_Speech_Synthesis_in_the_Era_of_Large_Language_Models__A_Systematic_Survey,ultra,conciseness,1
17_2412.06602v3_Towards_Controllable_Speech_Synthesis_in_the_Era_of_Large_Language_Models__A_Systematic_Survey,ultra,accuracy,2
17_2412.06602v3_Towards_Controllable_Speech_Synthesis_in_the_Era_of_Large_Language_Models__A_Systematic_Survey,mapreduce,coverage,5
17_2412.06602v3_Towards_Controllable_Speech_Synthesis_in_the_Era_of_Large_Language_Models__A_Systematic_Survey,mapreduce,hierarchy,5
17_2412.06602v3_Towards_Controllable_Speech_Synthesis_in_the_Era_of_Large_Language_Models__A_Systematic_Survey,mapreduce,balance,5
17_2412.06602v3_Towards_Controllable_Speech_Synthesis_in_the_Era_of_Large_Language_Models__A_Systematic_Survey,mapreduce,conciseness,5
17_2412.06602v3_Towards_Controllable_Speech_Synthesis_in_the_Era_of_Large_Language_Models__A_Systematic_Survey,mapreduce,accuracy,5
18_2506.01061v3_AceVFI__A_Comprehensive_Survey_of_Advances_in_Video_Frame_Interpolation,ultra,coverage,1
18_2506.01061v3_AceVFI__A_Comprehensive_Survey_of_Advances_in_Video_Frame_Interpolation,ultra,hierarchy,1
18_2506.01061v3_AceVFI__A_Comprehensive_Survey_of_Advances_in_Video_Frame_Interpolation,ultra,balance,1
18_2506.01061v3_AceVFI__A_Comprehensive_Survey_of_Advances_in_Video_Frame_Interpolation,ultra,conciseness,1
18_2506.01061v3_AceVFI__A_Comprehensive_Survey_of_Advances_in_Video_Frame_Interpolation,ultra,accuracy,1
18_2506.01061v3_AceVFI__A_Comprehensive_Survey_of_Advances_in_Video_Frame_Interpolation,mapreduce,coverage,5
18_2506.01061v3_AceVFI__A_Comprehensive_Survey_of_Advances_in_Video_Frame_Interpolation,mapreduce,hierarchy,5
18_2506.01061v3_AceVFI__A_Comprehensive_Survey_of_Advances_in_Video_Frame_Interpolation,mapreduce,balance,5
18_2506.01061v3_AceVFI__A_Comprehensive_Survey_of_Advances_in_Video_Frame_Interpolation,mapreduce,conciseness,5
18_2506.01061v3_AceVFI__A_Comprehensive_Survey_of_Advances_in_Video_Frame_Interpolation,mapreduce,accuracy,5
20_2204.10358v1_Creative_Problem_Solving_in_Artificially_Intelligent_Agents__A_Survey_and_Framework,ultra,coverage,1
20_2204.10358v1_Creative_Problem_Solving_in_Artificially_Intelligent_Agents__A_Survey_and_Framework,ultra,hierarchy,1
20_2204.10358v1_Creative_Problem_Solving_in_Artificially_Intelligent_Agents__A_Survey_and_Framework,ultra,balance,1
20_2204.10358v1_Creative_Problem_Solving_in_Artificially_Intelligent_Agents__A_Survey_and_Framework,ultra,conciseness,1
20_2204.10358v1_Creative_Problem_Solving_in_Artificially_Intelligent_Agents__A_Survey_and_Framework,ultra,accuracy,1
20_2204.10358v1_Creative_Problem_Solving_in_Artificially_Intelligent_Agents__A_Survey_and_Framework,mapreduce,coverage,5
20_2204.10358v1_Creative_Problem_Solving_in_Artificially_Intelligent_Agents__A_Survey_and_Framework,mapreduce,hierarchy,5
20_2204.10358v1_Creative_Problem_Solving_in_Artificially_Intelligent_Agents__A_Survey_and_Framework,mapreduce,balance,5
20_2204.10358v1_Creative_Problem_Solving_in_Artificially_Intelligent_Agents__A_Survey_and_Framework,mapreduce,conciseness,5
20_2204.10358v1_Creative_Problem_Solving_in_Artificially_Intelligent_Agents__A_Survey_and_Framework,mapreduce,accuracy,5
